"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","24","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","2","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","76","6","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","12","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial.BaseFlattenMaterial","0","0","53","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","52","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","115","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","962","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","4","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","4","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","72","2","1","445.308533","0","645"
"/Game/Default_Material3.Default_Material3","0","21","1","1","36.652718","0","183"
"/Game/animation_movement/texturecatfinal/lambert3.lambert3","0","0","24","1","0.000000","0","0"
"/Game/animation_movement/texturecatfinal/catassets/catanime/Material_008.Material_008","0","24","4","1","36.948429","0","114"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert9.lambert9","0","24","7","1","36.881756","0","88"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert8.lambert8","0","24","2","1","41.125565","0","97"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert7.lambert7","0","24","6","1","34.459229","0","76"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert6.lambert6","0","24","9","1","36.147518","0","78"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert5.lambert5","0","24","4","1","39.742363","0","74"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert4.lambert4","0","24","6","1","34.353287","0","87"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert3.lambert3","0","24","2","1","38.689678","0","97"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert11.lambert11","0","24","4","1","40.378422","0","68"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert10.lambert10","0","24","9","1","37.305801","0","96"
"/Game/animation_movement/texturecatfinal/catassets/catanime/lambert1.lambert1","0","24","3","1","39.038712","0","79"
"/Game/animation_movement/texturecatfinal/catassets/catanime/Helemt_Material.Helemt_Material","0","24","9","1","35.476360","0","94"
"/Game/T_Cat_1_BaseColor_Mat.T_Cat_1_BaseColor_Mat","0","24","10","1","40.262920","0","106"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","19","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","8","1","0.000000","0","0"
"/Game/Geometry/Meshes/CubeMaterial.CubeMaterial","0","0","21","1","0.000000","0","0"
"/Game/animation_movement/texturecatfinal/lambert11.lambert11","0","0","24","1","0.000000","0","0"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","0","63","1","0.000000","0","0"
"/Game/lambert1.lambert1","0","0","12","1","0.000000","0","0"
"/Game/M_Lava.M_Lava","0","66","10","1","113.258469","0","420"
"/Game/gRAY.gRAY","0","12","12","1","26.821667","0","22"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","2","1","0.000000","0","0"
"/Engine/EditorMaterials/Thumbnails/SkySphereMaterial.SkySphereMaterial","0","0","2","1","0.000000","0","0"
"/Engine/MapTemplates/Sky/M_Procedural_Sky_MASTER02.M_Procedural_Sky_MASTER02","0","0","42","2","0.000000","0","0"
